"experiment","condition","term","b","SE","df","t","p"
"exp2_batch2","experience","(Intercept)",23.6265286807086,0.422362299177386,46.0597846217528,55.9390095345271,5.38980234002825e-44
"exp2_batch2","experience","meanVal_c",0.903067557839407,0.0117800303872986,4252.75981552427,76.6608852565534,0
"exp2_batch2","experience","array_length1",-1.59936405363403,0.244875778465438,46.1188950635348,-6.53132810299477,4.5592460363164e-08
"exp2_batch2","experience","array_length2",0.78504710656498,0.141145044665328,46.6897558653767,5.56198843839273,1.25327626015396e-06
"exp2_batch2","experience","meanVal_c:array_length1",0.0690661778197521,0.0167496270150735,4237.46718888833,4.12344571957319,3.8039563620093e-05
"exp2_batch2","experience","meanVal_c:array_length2",-0.0821374494675036,0.016572154246911,4225.73576531623,-4.95635318400527,7.46417669466374e-07
"exp2_batch2","average","(Intercept)",21.8391476173057,0.36107275088992,56.0368882482632,60.484064675276,9.90561813859061e-53
"exp2_batch2","average","meanVal_c",0.759070779195145,0.00931946928264291,5168.63965693623,81.4500006571061,0
"exp2_batch2","average","array_length1",-1.02962052067022,0.164469192376932,56.5458007361824,-6.26026373565773,5.52384432488057e-08
"exp2_batch2","average","array_length2",0.72294880741948,0.0929309773400803,57.1467322127345,7.77941681140245,1.57369809939276e-10
"exp2_batch2","average","meanVal_c:array_length1",0.0713910655245578,0.0132150185295895,5146.85372956361,5.40226753104487,6.87640607457183e-08
"exp2_batch2","average","meanVal_c:array_length2",-0.0714332270447323,0.0132580396597646,5144.68749904537,-5.38791773730451,7.44531475696949e-08
