"experiment","model","formula","rand_used","singular"
"exp2_batch2","combined","meanVal ~ resp_c * array_length * condition + (1 + array_length | participant_id)","noise_slope",FALSE
"exp2_batch2","experience","meanVal ~ resp_c * array_length + (1 | participant_id)","intercept",FALSE
"exp2_batch2","average","meanVal ~ resp_c * array_length + (1 + array_length | participant_id)","noise_slope",FALSE
