"z","experiment","participant_id","condition","array_length","n_trials","slope_fwd","slope_rev","r","bias","abs_error","sd_response","sd_objective","mean_rt"
1.52025423490608,"exp2_batch2","average.55a56724fdf99b7973398109","average","2",31,1.07993344907407,0.764687804128464,0.908741953349427,-3.64516129032258,3.83870967741935,6.47957917125481,5.45243360877182,4005.96774193548
1.08114885670914,"exp2_batch2","average.55a56724fdf99b7973398109","average","10",32,0.911516397878558,0.69098069783184,0.793624745513452,-3.16875,4.21875,7.01028909716329,6.10360813437958,3486.53125
1.5414210925515,"exp2_batch2","average.55a56724fdf99b7973398109","average","20",29,1.0062272677174,0.827247191011236,0.912358855241803,-4.05172413793103,4.1551724137931,7.37323077217202,6.68540060735243,3778.44827586207
1.4096515356621,"exp2_batch2","average.55d35a63da14d7001295328e","average","2",31,1.06211337826609,0.741459877537867,0.887420112111791,-2.67741935483871,3.90322580645161,8.16891564381093,6.82531656676517,2107.96774193548
0.97280422490244,"exp2_batch2","average.55d35a63da14d7001295328e","average","10",30,0.833263069139966,0.674938106485302,0.749933995821939,-1.83333333333333,3.64666666666667,6.35546646777312,5.71989872107106,1966.86666666667
1.28845735874281,"exp2_batch2","average.55d35a63da14d7001295328e","average","20",32,1.18581603537279,0.621853154840773,0.858721982167305,-4.03125,5.46875,9.39436172701821,6.80303241209389,1973.21875
1.36153432442945,"exp2_batch2","average.55d4d11258c35800113dc2ab","average","2",27,0.986699474629248,0.779049619322657,0.87674845314707,-5.40740740740741,5.40740740740741,7.36608846398543,6.54526209104386,2898.59259259259
0.883872229876792,"exp2_batch2","average.55d4d11258c35800113dc2ab","average","10",32,0.80670253712996,0.62199536972296,0.708353896607197,-2.95,5.625,8.05468957772728,7.07270708313804,2737.5
1.21651980004729,"exp2_batch2","average.55d4d11258c35800113dc2ab","average","20",32,1.04304563707939,0.674266934359774,0.838624578766241,-2.5,4.59375,8.87860558290401,7.13853411806925,2874.25
1.13923275146823,"exp2_batch2","average.56e6a66af6ed900006a5867c","average","2",32,0.461843320718734,1.4352254838411,0.814155576924536,-5.875,5.9375,3.29940732703275,5.8163250508181,2386.75
1.26423133127754,"exp2_batch2","average.56e6a66af6ed900006a5867c","average","10",32,0.710004682378648,1.02293681133348,0.852226452196983,-5.325,5.375,4.23455447631781,5.08278244855658,2337.5
1.14772479173164,"exp2_batch2","average.56e6a66af6ed900006a5867c","average","20",30,0.530263157894737,1.25878494455724,0.816998947252242,-4.8,5.23333333333333,4.69886266503157,7.23973708800591,2485.73333333333
1.61507429652713,"exp2_batch2","average.57bfc1beef05670001ee84c2","average","2",31,0.938494651708844,0.909544879898862,0.923906383392953,-1.48387096774194,2.64516129032258,7.14368658778618,7.03264278320242,1641.67741935484
1.03820666129472,"exp2_batch2","average.57bfc1beef05670001ee84c2","average","10",32,0.69626824650339,0.867491883116883,0.777178906245992,-0.418750000000001,3.53125,6.30412051628702,7.03669815806689,1728.78125
1.0616629237366,"exp2_batch2","average.57bfc1beef05670001ee84c2","average","20",31,0.659759676395939,0.937109220976736,0.786299482626857,-0.0806451612903226,3.37096774193548,6.17887486713042,7.3639634022208,1813.61290322581
0.953347794213298,"exp2_batch2","average.5930c7fdfa699e0001017cc1","average","2",32,0.5255665548556,1.04557291666667,0.741294918141775,-2.4375,4.0625,4.97736813470604,7.02041952610958,1460.3125
0.729896951995637,"exp2_batch2","average.5930c7fdfa699e0001017cc1","average","10",31,0.416559786898185,0.931755489352312,0.623002301830268,-0.232258064516129,4.23225806451613,4.41478454521228,6.60270391012131,1438.1935483871
0.7821183620042,"exp2_batch2","average.5930c7fdfa699e0001017cc1","average","20",32,0.471933243666109,0.906086956521739,0.653920909923254,1.8125,4.28125,4.37355967074286,6.06009887601653,1467.5625
1.27902595754019,"exp2_batch2","average.593890eac6aa16000101f037","average","2",29,0.794038062595833,0.923282642894599,0.856225181241703,-6.93103448275862,7,6.85349862112437,7.39024786775099,1888.34482758621
0.999908897994706,"exp2_batch2","average.593890eac6aa16000101f037","average","10",32,0.495416434913376,1.17066640704863,0.761555892796374,-6.6375,6.8,4.55067790058126,6.99531813475639,1927.875
1.13632006390826,"exp2_batch2","average.593890eac6aa16000101f037","average","20",31,0.604856628928155,1.09323006310958,0.81317123080897,-4.53225806451613,4.91935483870968,4.74239629097413,6.37569308903679,1880.48387096774
0.784851977159929,"exp2_batch2","average.5969496f06679c00014b818e","average","2",30,0.710920177383592,0.604368417332297,0.655482801036699,-8.76666666666667,9.16666666666667,6.98446552147619,6.43981865954439,2329.5
0.833771295392782,"exp2_batch2","average.5969496f06679c00014b818e","average","10",30,0.855566167887084,0.544435440302539,0.68249581927039,-3.3,4.95333333333333,7.14577280393921,5.7002722258043,2239.36666666667
1.05769191193305,"exp2_batch2","average.5969496f06679c00014b818e","average","20",31,0.868976177486816,0.708739664058734,0.784778875930697,-4.59677419354839,5.33870967741935,7.61563191484237,6.87773406046291,2259.96774193548
