"experiment","condition","array_length","band","n","dist","se","inward"
"exp2_batch2","average","2","extreme",57,8.43609476887925,0.358429127654647,1.86214241780887
"exp2_batch2","average","2","middle",57,2.72040700728196,0.236840329985961,0.502649212973883
"exp2_batch2","average","10","extreme",57,8.24621710664964,0.263837825403852,2.79643882955128
"exp2_batch2","average","10","middle",57,2.57580336686203,0.236307996962508,0.779188506425349
"exp2_batch2","average","20","extreme",57,8.28040237762239,0.319942117064867,1.64282972447739
"exp2_batch2","average","20","middle",57,2.44756893018637,0.265018455207948,0.755319966773038
"exp2_batch2","experience","2","extreme",47,8.34793592728471,0.330248691969138,0.535547620027397
"exp2_batch2","experience","2","middle",47,2.77420543207107,0.216113814492021,0.133822730417158
"exp2_batch2","experience","10","extreme",47,8.22712400817367,0.369053437442063,1.44456077337413
"exp2_batch2","experience","10","middle",47,2.57821134971986,0.290590774551768,0.525825066819237
"exp2_batch2","experience","20","extreme",47,8.11027786420366,0.277835206156658,0.686262246123256
"exp2_batch2","experience","20","middle",47,2.46557657110833,0.27230043753512,-0.113936839898568
