"experiment","model","term","b","SE","df","t","p"
"exp2_batch2","combined","(Intercept)",24.5891475059344,0.0660853861448997,103.123019367044,372.081468238983,3.957249097784e-163
"exp2_batch2","combined","resp_c",0.685059865961702,0.00618541892079643,9476.25534862787,110.753996573848,0
"exp2_batch2","combined","array_length1",1.10619328020203,0.109863946332387,102.176770971132,10.0687561036203,5.63662290258056e-17
"exp2_batch2","combined","array_length2",-0.26201842128759,0.074261705335667,104.963767916931,-3.52831139688016,0.000621990293033492
"exp2_batch2","combined","condition1",0.0381759181707851,0.0660853861448997,103.12301937009,0.577675646580624,0.564742334110205
"exp2_batch2","combined","resp_c:array_length1",0.00789790668466348,0.00859711599720729,9453.06978443988,0.918669317388419,0.358292002356838
"exp2_batch2","combined","resp_c:array_length2",-0.000548905274336619,0.00892808748769229,9443.82148191469,-0.0614807230656405,0.95097766714353
"exp2_batch2","combined","resp_c:condition1",0.0488853488940773,0.00618541892079642,9476.2553488762,7.90332061903139,3.01859242619295e-15
"exp2_batch2","combined","array_length1:condition1",-0.0834495919540961,0.109863946332387,102.17677095948,-0.759572132077106,0.44925930005521
"exp2_batch2","combined","array_length2:condition1",-0.0588577349414827,0.074261705335667,104.963767904023,-0.792571819828841,0.429815077836926
"exp2_batch2","combined","resp_c:array_length1:condition1",0.00300834889569132,0.00859711599720729,9453.06978445692,0.349925358302547,0.726402511199526
"exp2_batch2","combined","resp_c:array_length2:condition1",-0.00868535196802501,0.00892808748769229,9443.82148320869,-0.972812148178219,0.330671589601048
"exp2_batch2","experience","(Intercept)",24.5427066970552,0.0885608421441457,46.7006576225376,277.128199132392,9.19095619169117e-77
"exp2_batch2","experience","resp_c",0.627056963739392,0.00844783720335231,4291.12873429275,74.2269232520911,0
"exp2_batch2","experience","array_length1",1.17865437313498,0.0938591963037394,4294.61451980774,12.5576866151795,1.50903317179042e-35
"exp2_batch2","experience","array_length2",-0.193691717733028,0.0940807530730127,4293.39384635218,-2.0587815403934,0.039575367150973
"exp2_batch2","experience","resp_c:array_length1",-0.00236651296399067,0.0118163195124805,4336.40610769131,-0.200274963916737,0.841274933242169
"exp2_batch2","experience","resp_c:array_length2",0.0166011783409935,0.0122177647531978,4329.76644270039,1.35877377542798,0.174289064292619
"exp2_batch2","average","(Intercept)",24.6273623149567,0.0948367287305818,56.4527356015634,259.681693417744,1.43211707000014e-88
"exp2_batch2","average","resp_c",0.733670479969892,0.00908735065012553,5195.01716265287,80.7353549144444,0
"exp2_batch2","average","array_length1",1.02254866023365,0.140793442710154,56.2156591626202,7.26275770057512,1.24782947487602e-09
"exp2_batch2","average","array_length2",-0.320366676225647,0.0972373955355402,57.5838213369082,-3.29468590207718,0.00168922351556737
"exp2_batch2","average","resp_c:array_length1",0.0105489525148486,0.0125924813734127,5175.02008938035,0.837718333824279,0.402227600789727
"exp2_batch2","average","resp_c:array_length2",-0.00873552756130415,0.0131594489843542,5178.80387430393,-0.663821682176069,0.506833996875228
