"experiment","condition","array_length","n","mean_prop","se"
"exp2_batch2","average","2",57,0.139028797661562,0.0111687276726276
"exp2_batch2","average","10",57,0.0811985819264862,0.00984778577493414
"exp2_batch2","average","20",57,0.148541458417807,0.0134656936875322
"exp2_batch2","experience","2",47,0.144691684332361,0.0133994425746385
"exp2_batch2","experience","10",47,0.131641397022997,0.0133985544931761
"exp2_batch2","experience","20",47,0.15104909645534,0.0115843810967216
