"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp1","raw","low","2 squares",0.453704298013685,0.109264138290439,448
"exp1","raw","low","6 squares",0.178071814860258,0.12415299405001,448
"exp1","raw","low","8 squares",0.307719966848016,0.140766811493306,448
"exp1","raw","low","12 squares",0.296533616260762,0.161267461933836,448
"exp1","raw","mid","2 squares",0.625583806318512,0.034032081341216,3198
"exp1","raw","mid","6 squares",0.649070854787738,0.0332498318592049,3198
"exp1","raw","mid","8 squares",0.592904544938023,0.0349578637429058,3198
"exp1","raw","mid","12 squares",0.612183394747643,0.0415141305527936,3198
"exp1","raw","high","2 squares",0.0960353460264419,0.147746137870645,388
"exp1","raw","high","6 squares",0.11428112936744,0.111279481022794,388
"exp1","raw","high","8 squares",0.185952072988752,0.102722395699293,388
"exp1","raw","high","12 squares",0.217546304103281,0.0935073760105946,388
"exp1","shift_removed","low","2 squares",0.0210061983229138,0.175150736577967,284
"exp1","shift_removed","low","6 squares",0.138168490715053,0.129250063942599,284
"exp1","shift_removed","low","8 squares",0.217358821530489,0.152987575119359,284
"exp1","shift_removed","low","12 squares",0.380698265962737,0.141266148484112,284
"exp1","shift_removed","mid","2 squares",0.759151548554695,0.0291628733335807,3357
"exp1","shift_removed","mid","6 squares",0.723895958738515,0.0285180284256307,3357
"exp1","shift_removed","mid","8 squares",0.706879758307698,0.0345681117925881,3357
"exp1","shift_removed","mid","12 squares",0.711710263737858,0.0352261533530721,3357
"exp1","shift_removed","high","2 squares",0.113234344484089,0.103917475681632,393
"exp1","shift_removed","high","6 squares",0.154968961178701,0.0953095149584682,393
"exp1","shift_removed","high","8 squares",0.067772437293414,0.111725925839127,393
"exp1","shift_removed","high","12 squares",0.152328485418944,0.112411711202445,393
