"experiment","group","level","n_trials","mean_item_sd","r","sd_objective","sd_report","sd_ratio","slope","split_from","split_to","log_change_slope","log_change_from_r","log_change_from_sd_ratio","share_from_r","share_from_sd_ratio","paired_n","paired_p_r","paired_p_sd_ratio"
"exp1","all",2,1008,4,0.744419246334983,6.56087921695393,7.81229717455585,1.19073936834078,0.886409303161634,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",6,1025,4.32049379893857,0.702721223236471,6.63951491599095,7.75386754996051,1.16783645312487,0.820663460880047,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",8,999,5.47722557505166,0.664734218639652,6.58337185038642,7.47674056662088,1.1357007832061,0.75493917273295,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","all",12,1002,5.45180907793204,0.700369287429246,6.60556663144217,7.69027509805178,1.16421126712226,0.815377815571514,"2","12",-0.0835272281716022,-0.0609966298568885,-0.0225305983147135,0.730260433538801,0.269739566461198,44,0.0338578277814745,0.274074111893758
"exp1","average",2,530,4,0.720368000280999,6.41385748614024,7.9552678211088,1.24032500539643,0.893490443835942,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",6,535,4.32049379893857,0.697049277790017,6.535462895558,7.67395485203727,1.17420219113371,0.818476789309208,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",8,524,5.47722557505166,0.662922333724598,6.449715690622,7.33626209726916,1.13745511417445,0.754044398795502,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","average",12,522,5.45180907793204,0.655766259588199,6.69519025506504,7.25816366884145,1.08408624584649,0.710907182509764,"2","12",-0.228593763050888,-0.0939577790918227,-0.134635983959066,0.4110251208862,0.588974879113801,23,0.0680364542882552,0.00531021809129688
"exp1","experience",2,478,4,0.771712763874573,6.71641758400833,7.65083753952432,1.13912475569429,0.879077113614789,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",6,490,4.32049379893857,0.708945431820496,6.7578470883973,7.84150250157123,1.16035512479033,0.822628465009608,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",8,475,5.47722557505166,0.666289755942456,6.73217705544501,7.63189292389889,1.13364411854352,0.755335463069964,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
"exp1","experience",12,480,5.45180907793204,0.747971362840303,6.50929239373106,8.13228402381058,1.24933457154922,0.934466482125175,"2","12",0.0611031364408395,-0.0312477210017682,0.0923508574426077,-0.511393077702688,1.51139307770269,21,0.265467105609727,0.0840286432292089
