participant_id,avg_rt,median_rt,overall_corr,corr_2,corr_6,corr_8,corr_12
55ec49b67480920010aaa4e8,1984.8241758241759,1856,0.8233948361666564,0.8413443498100887,0.8614737223072358,0.8581161221896451,0.8586743254602293
581e0aee4182b600017307ea,3134.021739130435,3081,0.6004285104417396,0.6444006814494042,0.7979256423004553,0.6532092852165354,0.33279725834053575
5a8b61fcf1408d000176b02f,2929.186813186813,2757,0.6479300345214394,0.774729543887554,0.7577266653489909,0.7623772615883464,0.4323044797654063
5dd42e7f35cf744223c60d1b,2209.838709677419,2198,0.7964715869662584,0.7996087913779023,0.8441483670809431,0.8056203306366381,0.893200569891108
5e2f4ab6fb987e078bf5f68e,3387.086956521739,3241,0.7493815663952681,0.8000394351217216,0.7733980723661984,0.7003720587335099,0.7432586682636229
615921b85071b9caef6148d8,1573.8924731182797,1499,0.8923585656775987,0.8508614302008145,0.8146025031250536,0.9341041716404925,0.9487166619502312
62cd43d66c2dd7ae9ab53ae7,1999.3010752688174,1912,0.35622433073292964,0.3167351770412143,0.4050852159111168,0.614636027355631,0.11846512610612521
6422f34be2b8257efb345837,2383.021052631579,2166,0.642196675517278,0.7314530611788161,0.7325226428588186,0.6892845001680697,0.6387173825676012
661415341b1fdb1844c6f6a6,3288.947368421052,3169,0.6840018820128146,0.7313404777763198,0.6711662443536478,0.656356840405373,0.8824181314218469
66b93ba9ccbb002158c59355,2230.5128205128203,1785.5,0.5581783015077794,0.44230955129413935,0.5391474346920075,0.8227478302258743,0.4926119998231753
66ba25f31c96638d878c9235,2255.4347826086955,2080,0.787938768418764,0.838648057759662,0.8426995528707152,0.681046038436515,0.8247511039788875
66df49caa6df07d77078a5fd,1780.4301075268818,1685,0.7063293696952863,0.8437380403291973,0.7522875904058055,0.5456636342175643,0.7712323890798085
6705565ffd67124adcd513ec,1984.6842105263154,1883,0.6886645824171683,0.806876622184852,0.7612858225204181,0.7345319790208454,0.6593103701848466
675c611268e0e1825a5fe25d,1385.4361702127658,1275,0.7083392873799814,0.624523136645884,0.7168520076490733,0.7177255454018229,0.7704671403963534
678d702b1b04e7a307fdfde5,3124.978260869565,2975.5,0.7413713495691119,0.8273635134779216,0.8806873940003365,0.5386683422505026,0.7336196113250181
67ad0557981df85a8b4f3fb5,3740.9594594594596,3409.5,0.6479098170547323,0.5741082329303351,0.4407540799449115,0.7633011242458634,0.8358046070646233
67c758c1c0984b56a597d24d,2799,2638.5,0.7332467804028169,0.7370558789116232,0.7777520854072822,0.6009481743432771,0.7623075232535351
67d0aced826014f4736f06a0,5000.555555555556,5133.5,0.356560599834834,0.253969912931886,0.9862413826124553,0.6116535034253198,0.46081768756903263
67d4a65b95f05bc507735cb8,4172.78409090909,3984.5,0.6576847076084487,0.77551296114641,0.5519910869918048,0.7103577604419913,0.6589142040005161
67d8b5e7ceb82869824198a2,4567.385542168675,4705,0.7541168765792909,0.9096146214259035,0.7328517193307974,0.643253911231349,0.825889999763079
67db3c988acf7102a0ce9138,2037.225806451613,1996,0.42068326785536525,0.845066836930129,0.17399343803544837,0.17380119600177907,0.36002591135023004
67ddc16bf07d3aedfbdf9f3b,2149.663043478261,2022,0.8903028328101386,0.9163535291843692,0.8839362361189507,0.8784506156887497,0.8895822606678373
67e0706e6c8edde0a06d4069,3859.916666666667,3774.5,0.6441918966796046,0.7629533289031407,0.6517428210036781,0.5438648802275295,0.6563505354309302
67e413ce38b79c273d9563dd,3562.7411764705885,3269,0.5975212868041094,0.7667656152412823,0.6309909162222306,0.6050165499964445,0.5775578464768854
67eaa46b7bb6cbefdcbde74c,2711.209302325581,2240.5,0.6610563648329533,0.5390320547604045,0.7939358195603318,0.7523812476196368,0.4932401241608027
67eaf9e474539bd9571a69c8,3047.666666666667,2980,0.7166891036748018,0.7540991398758802,0.6677342142110838,0.6040033087727686,0.6457460303285016
67ef42807f408cca62ea4bb0,4600.578313253012,4558,0.7957378588626273,0.8052198390727756,0.7943262171751095,0.9209724886393044,0.7713257187068997
