"side","cluster","n_trials","n_participants","mean_true","mean_rating","pull"
"high","1-4 faces",156,49,145.044903846154,141.371794871795,3.67310897435897
"high","5-8 faces",111,30,141.206,137.765765765766,3.44023423423424
"high","9-12 faces",71,43,140.849521126761,137.12676056338,3.72276056338028
"low","1-4 faces",306,50,106.323300653595,112.673202614379,6.34990196078431
"low","5-8 faces",146,49,108.52202739726,118.184931506849,9.66290410958904
"low","9-12 faces",37,26,109.747756756757,119.351351351351,9.6035945945946
