"experiment","group","level","n_trials","mean_item_sd","r","sd_objective","sd_report","sd_ratio","slope","split_from","split_to","log_change_slope","log_change_from_r","log_change_from_sd_ratio","share_from_r","share_from_sd_ratio","paired_n","paired_p_r","paired_p_sd_ratio","grouping"
"exp0_goldenberg","all","1",582,NA,0.800551657452797,12.5540068906251,12.9733920726969,1.03340648015615,0.827295270511464,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","2",534,8.69317606458742,0.712209707338834,10.8745030025616,11.1124131738671,1.02187779719676,0.727791286877554,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","3",603,9.01547942108769,0.618628675120646,9.8493809201307,10.3038270267817,1.0461395604796,0.647171930290787,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","4",564,9.76901355334104,0.666154000496227,10.7408163388542,11.108440291821,1.03422681678644,0.688954331422767,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","5",601,9.38738000721305,0.559446829506886,10.5159471928372,10.6127588436348,1.00920617506177,0.56459719495708,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","6",612,9.76736337915863,0.51012481785203,7.77405071553636,9.69813122546977,1.2475003804758,0.636380904360555,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","7",717,9.99504496785018,0.554829634284123,8.92723220996628,10.2274405191873,1.1456451763145,0.635637894193946,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","8",699,9.81646921538077,0.459092656247231,9.23476121966301,10.5231928799569,1.13951975905457,0.523145153030569,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","9",650,9.96305795367618,0.541089118347634,9.14223077232076,10.3424249460444,1.13128023166484,0.612123423155634,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","10",572,10.0214689320128,0.578530007450311,8.35876328883675,10.576787404027,1.26535314358674,0.732044763586509,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","11",657,9.89552428061258,0.470099404058324,8.72998965670455,10.4588506809816,1.19803700717438,0.563196483112492,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","12",513,9.93088607204504,0.531398313987955,8.35112627083723,10.3766160121086,1.24254090712824,0.66028414310901,"1","12",-0.225491407168575,-0.409789201291731,0.184297794123156,1.81731626245686,-0.817316262456856,50,1.87218310814792e-08,0.00784673384755494,"each set size"
"exp0_goldenberg","all","1-4 faces",2283,9.1641468274485,0.709646491459233,11.0481095670163,11.4214152608546,1.0337891013457,0.733624808678767,"1-4 faces","9-12 faces",-0.158422619979454,-0.300324819706049,0.141902199726596,1.89571930918072,-0.895719309180717,50,5.36796590644192e-15,6.52442843465192e-10,"clusters"
"exp0_goldenberg","all","5-8 faces",2629,9.75564891437043,0.520019324034405,9.1799567210345,10.2752073188303,1.11930890646643,0.58206226092636,"1-4 faces","9-12 faces",-0.158422619979454,-0.300324819706049,0.141902199726596,1.89571930918072,-0.895719309180717,50,5.36796590644192e-15,6.52442843465192e-10,"clusters"
"exp0_goldenberg","all","9-12 faces",2392,9.95157688391405,0.525548314938944,8.75920784656781,10.4357609790769,1.19140465232436,0.626140707439484,"1-4 faces","9-12 faces",-0.158422619979454,-0.300324819706049,0.141902199726596,1.89571930918072,-0.895719309180717,50,5.36796590644192e-15,6.52442843465192e-10,"clusters"
