"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp2","combined","average","2",0.74148056917482,0.0125572821686451,14687.957915051,0.716866720073257,0.766094418276382,59.047854401668,0
"exp2","combined","experience","2",0.642316175250652,0.0116984885271059,14678.3592657154,0.619385668237011,0.665246682264294,54.905911457055,0
"exp2","combined","average","10",0.737919048780213,0.0135304309788927,14653.0393845277,0.711397700663195,0.764440396897231,54.5377342326608,0
"exp2","combined","experience","10",0.641955575802328,0.0121092838242557,14632.1650787236,0.618219852224885,0.665691299379771,53.0135047719709,0
"exp2","combined","average","20",0.730987363813915,0.0129038725638438,14600.2335655321,0.705694141513261,0.756280586114569,56.648681254193,0
"exp2","combined","experience","20",0.62003401233534,0.0118197994674055,14650.2893506385,0.596865716979606,0.643202307691074,52.457236186211,0
"exp2","experience","experience","2",0.642484399193093,0.0115818200725473,6935.49629995039,0.619780486759745,0.665188311626441,55.4735261961109,0
"exp2","experience","experience","10",0.642167721670998,0.0119976162868115,6923.68391668274,0.618648714382444,0.665686728959552,53.524609082298,0
"exp2","experience","experience","20",0.620213552414521,0.0117033112650663,6921.75185728672,0.597271472104849,0.643155632724194,52.9947070848078,0
"exp2","average","average","2",0.741275027870339,0.0126674323040809,7745.43000138162,0.716443436399006,0.766106619341672,58.5181755920283,0
"exp2","average","average","10",0.73783562697248,0.0136406975987368,7719.31249668751,0.71109615829885,0.764575095646111,54.0907546429888,0
"exp2","average","average","20",0.730787103047974,0.013016301089642,7701.76688278491,0.705271611845495,0.756302594250453,56.1439919079247,0
