"experiment","condition","array_length","n","mean_prop","se"
"exp2","average","2",86,0.128713836830171,0.0089979663184243
"exp2","average","10",86,0.0794923198651016,0.0082821691045983
"exp2","average","20",86,0.121997919858317,0.00907759323271813
"exp2","experience","2",77,0.140929643112624,0.011408383892522
"exp2","experience","10",77,0.123645172252752,0.0105933092902694
"exp2","experience","20",77,0.134524802029371,0.00979526436400318
