"experiment","condition","array_length","band","n","dist","se","inward"
"exp2","average","2","extreme",86,8.34308279421122,0.274992857897404,1.81880551933607
"exp2","average","2","middle",86,2.75137060310338,0.18224134917776,0.168205879477839
"exp2","average","10","extreme",86,8.46743211539528,0.21444583135647,2.72390644853471
"exp2","average","10","middle",86,2.79564411762975,0.192476430259491,0.812953071100706
"exp2","average","20","extreme",86,8.38655573443287,0.247683220105239,2.27777060196106
"exp2","average","20","middle",86,2.75034126098981,0.184971646687017,1.04949754717647
"exp2","experience","2","extreme",77,8.29735918689934,0.291566314882305,0.895901330998935
"exp2","experience","2","middle",77,2.8048571991769,0.183683498476995,-0.105148178319744
"exp2","experience","10","extreme",77,8.41762517408244,0.267217355305636,1.5065693527968
"exp2","experience","10","middle",77,2.83581592108869,0.207280809766294,0.688043294631289
"exp2","experience","20","extreme",77,8.38855723478818,0.282845689337247,1.06497721008748
"exp2","experience","20","middle",77,2.71835970529102,0.205649750982367,0.175697613170473
