"stage","n_participants","condition"
"started",92,"average"
"later_session",0,"average"
"incomplete_session",0,"average"
"low_retention",5,"average"
"low_tracking",1,"average"
"analysed",86,"average"
"started",91,"experience"
"later_session",2,"experience"
"incomplete_session",0,"experience"
"low_retention",9,"experience"
"low_tracking",3,"experience"
"analysed",77,"experience"
