"experiment","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp2","average","2",0.812431154660612,0.0142144506416222,14675.528402994,0.784569045417826,0.840293263903397,57.1552974605773,0
"exp2","experience","2",0.921475288993687,0.0151610796860311,14642.294499438,0.891757662320511,0.951192915666864,60.7790017648087,0
"exp2","average","10",0.680787288626542,0.014081644110251,14700.2081863406,0.653185500694009,0.708389076559076,48.3457246395648,0
"exp2","experience","10",0.829499083319311,0.0149072545409684,14693.7470867345,0.800278994374239,0.858719172264383,55.6439873646531,0
"exp2","average","20",0.740533715976852,0.0140637915555738,14660.7256764007,0.712966915176617,0.768100516777087,52.6553392839046,0
"exp2","experience","20",0.871092159314379,0.0151513787384413,14645.0371387497,0.841393548180707,0.90079077044805,57.4926001357414,0
