"experiment","condition","term","b","SE","df","t","p"
"exp2","experience","(Intercept)",23.4498728717455,0.291780577509612,76.0468457012009,80.3681762230147,2.62221748527877e-75
"exp2","experience","meanVal_c",0.87415701822717,0.00929624261988836,6964.52312001289,94.0333696064473,0
"exp2","experience","array_length1",-1.02901757823354,0.17892868723882,75.987316238613,-5.75099272292815,1.75763543026281e-07
"exp2","experience","array_length2",1.38350314544377,0.107582876160058,76.2750603954017,12.8598824908291,8.70183365325186e-21
"exp2","experience","meanVal_c:array_length1",0.0472594232465915,0.0132046424848137,6939.8583824848,3.5790005902048,0.000347265355748356
"exp2","experience","meanVal_c:array_length2",-0.0445084879316355,0.0131215844504222,6919.85294670627,-3.39200559961364,0.000697717674273988
"exp2","average","(Intercept)",22.0944514872718,0.293890913618705,84.9855113934068,75.1790901434168,1.60635839711271e-79
"exp2","average","meanVal_c",0.744404149700413,0.0075891316023764,7783.09226674252,98.0881856716409,0
"exp2","average","array_length1",-0.535967263358661,0.136132367929997,85.1269916804228,-3.93710380204561,0.000168065708610042
"exp2","average","array_length2",1.07807179820348,0.0819907140261204,83.4131527164615,13.1487060578596,4.90270742827371e-22
"exp2","average","meanVal_c:array_length1",0.0675508373274945,0.0107918111219948,7748.3540543215,6.25945326172538,4.06893045406903e-10
"exp2","average","meanVal_c:array_length2",-0.063981752347799,0.010755618956095,7739.38017045952,-5.94868157834299,2.82069757537621e-09
