"level","band","n_trials","p","inward_skew"
"2 squares","14-17",212,NA,0
"2 squares","32+",269,NA,0
"10 squares","14-17",166,NA,-0.125669583629514
"10 squares","32+",277,NA,0.125669583629516
"20 squares","14-17",236,NA,0.398497370398196
"20 squares","32+",200,NA,-0.398497370398196
