"participant_id","condition","variance_level","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.6980f50102e1cb37d5b3464a","average","7",71,38,5,0.0704225352112676
"average.69854f587004c7ca1ef67ab5","average","3",69,32,5,0.072463768115942
"average.69854f587004c7ca1ef67ab5","average","5",69,35,5,0.072463768115942
"average.69854f587004c7ca1ef67ab5","average","7",72,36,1,0.0138888888888889
"average.69864918d688ba39aab5c4a9","average","3",69,35,13,0.188405797101449
"average.69864918d688ba39aab5c4a9","average","5",66,33,3,0.0454545454545455
"average.69864918d688ba39aab5c4a9","average","7",71,33,3,0.0422535211267606
"average.698a3d827015c99ab3f87957","average","3",70,36,8,0.114285714285714
"average.698a3d827015c99ab3f87957","average","5",69,33,8,0.115942028985507
"average.698a3d827015c99ab3f87957","average","7",70,34,8,0.114285714285714
"average.699288bfa36a91c33ada5723","average","3",71,36,12,0.169014084507042
"average.699288bfa36a91c33ada5723","average","5",70,31,9,0.128571428571429
"average.699288bfa36a91c33ada5723","average","7",70,37,6,0.0857142857142857
"average.6998845b8b98b147215b19e5","average","3",69,37,8,0.115942028985507
"average.6998845b8b98b147215b19e5","average","5",72,34,6,0.0833333333333333
"average.6998845b8b98b147215b19e5","average","7",72,34,3,0.0416666666666667
"average.699f3d1a77d51612aeaf5766","average","3",72,30,14,0.194444444444444
"average.699f3d1a77d51612aeaf5766","average","5",70,34,5,0.0714285714285714
"average.699f3d1a77d51612aeaf5766","average","7",69,40,11,0.159420289855072
"average.699fc622b54af00bf1380eba","average","3",71,35,21,0.295774647887324
"average.699fc622b54af00bf1380eba","average","5",70,31,11,0.157142857142857
"average.699fc622b54af00bf1380eba","average","7",70,38,10,0.142857142857143
"average.69a30af34cf4575fd785090b","average","3",71,30,16,0.225352112676056
"average.69a30af34cf4575fd785090b","average","5",71,39,13,0.183098591549296
"average.69a30af34cf4575fd785090b","average","7",69,33,12,0.173913043478261
"average.69a4b67351c86f1665010c28","average","3",65,30,3,0.0461538461538462
"average.69a4b67351c86f1665010c28","average","5",66,37,5,0.0757575757575758
"average.69a4b67351c86f1665010c28","average","7",68,34,0,0
"average.69a54b53983c2fc21935a276","average","3",71,35,20,0.28169014084507
"average.69a54b53983c2fc21935a276","average","5",68,26,20,0.294117647058824
"average.69a54b53983c2fc21935a276","average","7",65,37,20,0.307692307692308
"average.69aa203bc67c0093e96b9875","average","3",71,33,11,0.154929577464789
"average.69aa203bc67c0093e96b9875","average","5",70,33,10,0.142857142857143
"average.69aa203bc67c0093e96b9875","average","7",72,38,9,0.125
"average.69ac80094c5494db959077d6","average","3",68,39,7,0.102941176470588
"average.69ac80094c5494db959077d6","average","5",69,27,0,0
"average.69ac80094c5494db959077d6","average","7",70,35,4,0.0571428571428571
"average.69acffd5ce1304cfa474a22f","average","3",71,39,16,0.225352112676056
"average.69acffd5ce1304cfa474a22f","average","5",70,28,5,0.0714285714285714
"average.69acffd5ce1304cfa474a22f","average","7",67,34,5,0.0746268656716418
"average.69af386aa115c4cb66894fb8","average","3",68,38,6,0.0882352941176471
"average.69af386aa115c4cb66894fb8","average","5",66,29,5,0.0757575757575758
"average.69af386aa115c4cb66894fb8","average","7",64,31,4,0.0625
"average.69b4b502fec38544c443c643","average","3",69,31,5,0.072463768115942
"average.69b4b502fec38544c443c643","average","5",70,36,4,0.0571428571428571
"average.69b4b502fec38544c443c643","average","7",70,36,1,0.0142857142857143
"average.69b702926fc53d9dd8eeaa52","average","3",70,27,6,0.0857142857142857
"average.69b702926fc53d9dd8eeaa52","average","5",70,42,9,0.128571428571429
"average.69b702926fc53d9dd8eeaa52","average","7",72,34,10,0.138888888888889
"average.69b885c83f7ae2b8458c6624","average","3",66,35,24,0.363636363636364
"average.69b885c83f7ae2b8458c6624","average","5",66,29,12,0.181818181818182
"average.69b885c83f7ae2b8458c6624","average","7",64,35,21,0.328125
"average.69b8c2e2a791bd09e0041dd7","average","3",68,29,8,0.117647058823529
"average.69b8c2e2a791bd09e0041dd7","average","5",71,43,8,0.112676056338028
"average.69b8c2e2a791bd09e0041dd7","average","7",71,31,7,0.0985915492957746
"average.69b9174a05fa2db6d0a8b4ff","average","3",72,43,21,0.291666666666667
