"z","experiment","participant_id","condition","variance_level","n_trials","slope_fwd","slope_rev","r","bias","abs_error","sd_response","sd_objective","mean_rt"
1.04211069540999,"exp4","average.55b5f6b6fdf99b713277dc94","average","3",71,0.963896242915444,0.629118685513955,0.778720191926987,-2.30985915492958,4.59154929577465,8.03177793146963,6.48877687643154,1521.19718309859
0.927831074397578,"exp4","average.55b5f6b6fdf99b713277dc94","average","5",71,0.722320637732506,0.736914478789129,0.729581069020627,-1.3943661971831,4.1830985915493,6.40079849143588,6.46513634253489,1502.15492957746
0.612888226121038,"exp4","average.55b5f6b6fdf99b713277dc94","average","7",66,0.561064004376368,0.531646061737035,0.546156999688831,-0.606060606060606,4.45454545454545,5.9979017310077,5.8385424626852,1430.36363636364
1.54112906344297,"exp4","average.58ed2be2a083320001a13783","average","3",67,1.1741983149201,0.708832008128448,0.912309897735333,-1.02985074626866,2.85074626865672,8.75005976590043,6.79848201855908,1609.80597014925
1.38917392915322,"exp4","average.58ed2be2a083320001a13783","average","5",67,0.964929049806266,0.808007176699363,0.882989013096516,-0.880597014925373,2.3134328358209,6.48830838011412,5.93733292035625,1582.71641791045
1.01500910014458,"exp4","average.58ed2be2a083320001a13783","average","7",71,0.829327304878178,0.710885310775487,0.767825890982403,-0.422535211267606,3.12676056338028,6.65855979255773,6.16477303388828,1511.05633802817
0.590759938926042,"exp4","average.5d27dc6b46dea800184f8bfa","average","3",71,0.466536054522832,0.603101631237172,0.530441943584474,-2.7887323943662,5.40845070422535,5.79012550122357,6.58325416587229,1841.15492957746
0.474785753464855,"exp4","average.5d27dc6b46dea800184f8bfa","average","5",70,0.426500488817182,0.458182989690722,0.442057992881942,-2.44285714285714,5.24285714285714,5.66855406395524,5.8753265183922,1850.35714285714
0.667220064909248,"exp4","average.5d27dc6b46dea800184f8bfa","average","7",69,0.519935616899512,0.654046185403295,0.583148271787232,-2.39130434782609,5.02898550724638,5.67539821752943,6.36540093558597,1919.85507246377
1.45045307055979,"exp4","average.5eb278ce4602871c6d7e335d","average","3",70,1.39253387035764,0.576234567901235,0.895782425075068,-3.67142857142857,4.98571428571429,9.69087423704698,6.23389851403035,1154.2
1.52619351191254,"exp4","average.5eb278ce4602871c6d7e335d","average","5",72,1.1520697167756,0.718431487986233,0.909770938691147,-3.65277777777778,4.375,8.31339163267223,6.5649517552908,1110.01388888889
1.01340211130259,"exp4","average.5eb278ce4602871c6d7e335d","average","7",69,0.793767461599218,0.741455061994846,0.767165498735142,-2.65217391304348,4.10144927536232,6.22174773898269,6.01323490580532,1136.75362318841
1.19236636251049,"exp4","average.5f0a7dec44c42c19a6c9f6d9","average","3",70,1.21349542412239,0.569494133017497,0.831311328252706,0.128571428571429,3.75714285714286,8.23560919417452,5.64184675284686,1722.71428571429
1.22122860927067,"exp4","average.5f0a7dec44c42c19a6c9f6d9","average","5",71,1.19555581789693,0.590208534220593,0.840016218212392,-0.915492957746479,3.87323943661972,8.71516636378738,6.12341220745217,1759.78873239437
1.09011022677793,"exp4","average.5f0a7dec44c42c19a6c9f6d9","average","7",72,1.05339836178328,0.602885778427757,0.796918371816233,0.0277777777777778,4.36111111111111,9.05511510397112,6.85038808399995,1815.45833333333
1.54608873287181,"exp4","average.5f3898caed1478189b8462a0","average","3",64,1.29812396902172,0.642327486027337,0.913137834926115,-2.90625,4.0625,8.46819446283076,5.95677218975469,2908.390625
1.29294678720049,"exp4","average.5f3898caed1478189b8462a0","average","5",62,0.972913055992749,0.760008037046959,0.859896355325691,-4.37096774193548,5.11290322580645,7.43439489083771,6.57079173858977,2991.27419354839
0.869659137091482,"exp4","average.5f3898caed1478189b8462a0","average","7",65,0.769244899458717,0.639175782243703,0.701200905838337,-5.04615384615385,5.78461538461538,6.87368868613106,6.26567265711782,2876.49230769231
0.752208939771233,"exp4","average.5f9fdfd04296cb0102563f84","average","3",68,0.681828861724083,0.594119176861827,0.636464926047107,0.352941176470588,4.08823529411765,6.29817691754016,5.87914201214314,1789.92647058824
0.888343694686306,"exp4","average.5f9fdfd04296cb0102563f84","average","5",71,0.778894658753709,0.648247333570007,0.710574686904207,-0.323943661971831,4.09859154929577,7.22097325354209,6.58759275225918,1730.33802816901
0.794270006514647,"exp4","average.5f9fdfd04296cb0102563f84","average","7",71,1.03078057455145,0.423644617688304,0.660821187936932,-1.09859154929577,4.67605633802817,8.22940695512125,5.27577509157673,1680.83098591549
1.07933924555569,"exp4","average.606f9bca353fc36aba9ccb8b","average","3",71,1.15192603242279,0.545847501923405,0.792953937627222,-2.01408450704225,4.35211267605634,8.27765166593858,5.69810586623105,1412.23943661972
0.841968469495126,"exp4","average.606f9bca353fc36aba9ccb8b","average","5",69,0.866901000144949,0.544195145623706,0.686850286463664,-1.72463768115942,4.2463768115942,7.49768364343617,5.9404547433294,1306.42028985507
0.756646164146346,"exp4","average.606f9bca353fc36aba9ccb8b","average","7",68,0.838127858040773,0.487330508474576,0.639097234562721,-1.08823529411765,5.26470588235294,9.10382991118572,6.94193906615753,1414.79411764706
