"experiment","condition","variance_level","n","mean_prop","se"
"exp4","average","3",51,0.156596265055574,0.0123904080111675
"exp4","average","5",51,0.108255009577768,0.00958551320844712
"exp4","average","7",51,0.102204131383099,0.0103664226145684
"exp4","experience","3",50,0.168589131162145,0.0124078555678462
"exp4","experience","5",50,0.12052217053386,0.0095279481468537
"exp4","experience","7",50,0.109686241516939,0.00970501774420844
