"experiment","term","b","SE","df","t","p"
"exp4","(Intercept)",24.0240468427789,0.218954703142746,99.0133206463921,109.721538281444,3.25599698786881e-105
"exp4","meanVal_c",0.946564669646278,0.0136836875909265,293.670987397897,69.1746770274069,8.17953997827607e-184
"exp4","variance_level1",-0.486993258196636,0.050249635625356,20794.9504111717,-9.69147839851995,3.65121970413412e-22
"exp4","variance_level2",0.0502366858751272,0.0501326460423275,20820.6131443165,1.00207529107304,0.316318876264501
"exp4","condition1",-0.253669079246282,0.218954703142746,99.0133206453991,-1.1585459257338,0.249428015467142
"exp4","meanVal_c:variance_level1",0.137620052412004,0.0199520303114164,184.017807058,6.8975462779474,8.22801352208793e-11
"exp4","meanVal_c:variance_level2",-0.00709512706211612,0.018831209652668,210.244575899438,-0.376774896195311,0.706720886900312
"exp4","meanVal_c:condition1",-0.0249944656317301,0.0136836875909265,293.670987395443,-1.82658844449968,0.0687767226477838
"exp4","variance_level1:condition1",0.0801755734958092,0.050249635625356,20794.9504119601,1.59554537058877,0.110605528767583
"exp4","variance_level2:condition1",0.0698292808659163,0.0501326460423275,20820.613144298,1.39289038936741,0.163667811120997
"exp4","meanVal_c:variance_level1:condition1",0.0144325640829843,0.0199520303114164,184.017807051806,0.723363179471822,0.470375258230168
"exp4","meanVal_c:variance_level2:condition1",-0.000773508040829535,0.018831209652668,210.244575899286,-0.0410758551944614,0.967274403629461
