"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",0.138278654551399,0.0159612015221494,99,8.66342388820226,2.23562612866601e-10,NA,NA
"noise_overall","X3 - X7",0.294208591035896,0.0197657957566543,99,14.8847329324876,2.23267515586656e-10,NA,NA
"noise_overall","X5 - X7",0.155929936484497,0.0174479974547953,99,8.93683856204613,2.2336554827973e-10,NA,NA
"noise_within_condition","X3 - X5",0.114829986826182,0.0224605244038594,99,5.11252474614755,4.62462981754008e-06,"average",NA
"noise_within_condition","X3 - X7",0.284731228301746,0.0278143307280448,99,10.2368534798019,2.23292606627012e-10,"average",NA
"noise_within_condition","X5 - X7",0.169901241475564,0.0245527363393087,99,6.91984954864496,1.58231594493685e-09,"average",NA
"noise_within_condition","X3 - X5",0.161727322276616,0.022684017713498,99,7.12957132723367,7.2236938652992e-10,"experience",NA
"noise_within_condition","X3 - X7",0.303685953770047,0.0280910970545124,99,10.8107544956584,2.23287721645704e-10,"experience",NA
"noise_within_condition","X5 - X7",0.141958631493431,0.024797048190915,99,5.724819760823,3.32029081229201e-07,"experience",NA
"condition_within_noise","average - experience",-0.0280460850670529,0.0505600746995702,99,-0.55470814142787,0.580345374194865,NA,"X3"
"condition_within_noise","average - experience",0.0188512503833812,0.0493100334420736,99,0.382300498853372,0.703057952379905,NA,"X5"
"condition_within_noise","average - experience",-0.00909135959875198,0.0509621359166236,99,-0.178394398806711,0.858777794722009,NA,"X7"
