"experiment","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","variance_level"
"exp4","noise_within_condition","variance_level3 - variance_level5","average",0.159921251597934,0.047370902323625,194.771081434571,3.37593847179426,0.0025467422196418,NA
"exp4","noise_within_condition","variance_level3 - variance_level7","average",0.296236597887031,0.0485229750911484,199.40084886235,6.1050790338095,1.58073204525877e-08,NA
"exp4","noise_within_condition","variance_level5 - variance_level7","average",0.136315346289097,0.0457148280981512,195.994555182771,2.98186282132405,0.00901934453549669,NA
"exp4","noise_within_condition","variance_level3 - variance_level5","experience",0.129509107350306,0.0477955371405378,193.905659225896,2.70964853830386,0.0199878484540384,NA
"exp4","noise_within_condition","variance_level3 - variance_level7","experience",0.240053357636753,0.0489700641435867,198.686029708079,4.90204294878774,5.86228862009541e-06,NA
"exp4","noise_within_condition","variance_level5 - variance_level7","experience",0.110544250286446,0.0462717203818961,197.479363167855,2.38902399509004,0.0466933934061429,NA
"exp4","condition_within_noise","average - experience",NA,-0.0211238030974916,0.0502262503705406,99.1749273268746,-0.420572966161166,0.674976857171045,"3"
"exp4","condition_within_noise","average - experience",NA,-0.0515359473451193,0.044782042464397,97.1801239074734,-1.1508172586387,0.25263120849531,"5"
"exp4","condition_within_noise","average - experience",NA,-0.0773070433477698,0.0471462830806804,99.4515506899954,-1.6397272127577,0.104221414861999,"7"
