"experiment","tail","contrast","estimate","SE","df","t.ratio","p.value"
"exp4","low","variance_level3 - variance_level5",0.0682347228088493,0.170642304553301,2144.03031401014,0.399869909091247,0.915649273085211
"exp4","low","variance_level3 - variance_level7",-0.350690899513472,0.179583016397104,2152.32604729819,-1.95280659913856,0.124389018281349
"exp4","low","variance_level5 - variance_level7",-0.418925622322321,0.192299890699253,2139.48584109485,-2.17850161432228,0.0751113182871964
"exp4","high","variance_level3 - variance_level5",0.432211972444891,0.226596470033361,1333.13264672286,1.90740823271103,0.136942738524888
"exp4","high","variance_level3 - variance_level7",1.0180236711833,0.225748036804919,1353.31617581155,4.50955713986133,2.10204699575556e-05
"exp4","high","variance_level5 - variance_level7",0.585811698738407,0.232518255146153,1335.79884422683,2.51942239275013,0.0318195631287278
